job,backend,repetition,status,ttft_ms,mean_decode_ms,tpot_steady_ms,tpot_boundary_ms,output_tokens_per_s,peak_memory_bytes,new_captures,max_used_pages,free_pages_after,expected_free_pages
graph-4096-1,vllm,3,pass,374.13369957357645,15.067679404215081,14.96221002058259,15.855184135337671,55.95057918055133,72278473728,0,2052,208508,208508
graph-4096-1,vllm,4,pass,374.70779102295637,15.073032617040976,14.96842606658382,15.854094860454401,55.919921434548655,72278473728,0,2052,208508,208508
graph-4096-4,vllm,0,pass,1045.459902845323,34.979444057644,35.25095276875488,32.95217901468277,92.8053605232773,72359864320,0,5328,208473,208473
graph-4096-4,vllm,1,pass,1044.586630538106,34.906852121398906,35.18276697806349,32.84668785830339,92.97452007719853,72359864320,0,5328,208473,208473
graph-4096-4,vllm,2,pass,1043.8135324511677,34.97463438337243,35.24932304363964,32.92362572004398,92.83844636318145,72359864320,0,5328,208473,208473
graph-4096-4,vllm,3,pass,1044.7558166924864,34.95557890933623,35.23148522903544,32.89547838891546,92.86357103240755,72359864320,0,5328,208473,208473
graph-4096-4,vllm,4,pass,1044.4865121971816,35.01290611292082,35.2854441173674,32.97795567971965,92.7449846916123,72359864320,0,5328,208473,208473
graph-4096-8,vllm,0,pass,1754.912487929687,61.58614344619889,62.587077027793775,54.11250603695711,105.75822303663668,72059574272,0,10433,206736,206736
graph-4096-8,vllm,1,pass,1751.613902975805,61.48422958043323,62.4876728210698,53.99185338368019,105.9384111966518,72059574272,0,10433,206736,206736
graph-4096-8,vllm,2,pass,1754.1538450168446,61.83764866212251,62.85715966597699,54.22529983334243,105.42746419134167,72059574272,0,10433,206736,206736
graph-4096-8,vllm,3,pass,1751.4027196448296,61.36931807598407,62.369010418478865,53.90494858535627,106.10953828155876,72059574272,0,10433,206736,206736
graph-4096-8,vllm,4,pass,1751.4863181859255,61.228819503118906,62.228884489741176,53.76166760300597,106.2959585179485,72059574272,0,10433,206736,206736
graph-65536-1,vllm,0,pass,20983.926391229033,34.73766813949337,34.63849145087546,35.47818741450707,5.040238577898235,72345157632,0,14039,208331,208331
graph-65536-1,vllm,1,pass,20983.064774423838,34.71016011193512,34.61040623785396,35.4549890384078,5.041104298661043,72345157632,0,14039,208331,208331
graph-65536-1,vllm,2,pass,20980.48616014421,34.350365040985146,34.23115747448589,35.24044820417961,5.050706994883505,72345157632,0,14039,208331,208331
graph-65536-1,vllm,3,pass,20980.25498818606,34.67302951287097,34.56370335438156,35.48933149625858,5.042598932047056,72345157632,0,14039,208331,208331
graph-65536-1,vllm,4,pass,20981.861790642142,34.73584282057961,34.62138813587704,35.590437799692154,5.040695765178667,72345157632,0,14039,208331,208331
graph-65536-4,vllm,0,pass,53635.72420272976,325.55108656740094,321.88231478046094,352.94458257655305,5.314835226087711,73094664704,0,52084,207790,207790
